,freq,z_real_measured,z_imag_measured,z_real_calc,z_imag_calc
0,1000000.0,5.079805831587356,-44.86332658991496,-35.53244319946439,-58.24059363804163
1,794328.2347,5.124635646808539,-61.155662121241555,-35.10906441063517,-73.03617641026099
2,630957.3445,5.3844057815820525,-80.64044006811513,-34.567813611023205,-91.59013350430543
3,501187.2336,5.979023556353791,-104.32881326514055,-33.8728422119466,-114.85696604601667
4,398107.1706,7.411190131337204,-133.39428121489004,-32.97581534064641,-144.03346015001915
5,316227.766,9.636218113031566,-167.1224201011883,-31.81080609530636,-180.62010437883782
6,251188.6432,8.290082092552597,-209.13575624196534,-30.28678680869956,-226.4980175281755
7,199526.2315,7.364099826131693,-265.29781385030435,-28.276474979133866,-284.02526203984803
8,158489.3192,7.737895920216921,-335.81086189509705,-25.599615857002803,-356.1573479194559
9,125892.5412,8.951459933934634,-423.80547585543434,-21.997731766266,-446.5978627725159
10,100000.0,11.473524047315133,-534.3768410456573,-17.09573011483759,-559.9864983501368
11,79432.8235,14.805446923083705,-673.1371990474213,-10.343211293561325,-702.1332648369171
12,63095.7344,19.83071743620689,-847.7680948502162,-0.9243486286388816,-880.3093303403334
13,50118.7234,27.77064307885586,-1067.6388862265119,12.380946191913253,-1103.6064147455843
14,39810.7171,40.8092982852389,-1343.380289111563,31.411384012047392,-1383.3775916388968
15,31622.7766,60.48980320616588,-1689.9177446574372,58.95561775986626,-1733.7714413490787
16,25118.8643,91.62269337284022,-2124.024783767625,99.26416970320612,-2172.3667792130022
17,19952.6231,139.42812175835496,-2669.3611218534925,158.83875685878132,-2720.9020825545144
18,15848.9319,215.72230994305517,-3354.069898644456,247.6437671182685,-3406.0638972800334
19,12589.2541,333.8529813864844,-4213.7953423035815,380.95043505558624,-4260.236446192194
20,10000.0,520.3435428417088,-5278.414401827782,582.1053108110012,-5321.991509953615
21,7943.2823,810.6177858231849,-6611.4914962742805,886.5909452271788,-6635.86642005242
22,6309.5734,1267.5742597148553,-8245.133079344949,1347.7524254718073,-8250.565273893566
23,5011.8723,1959.7512464912732,-10244.231306051026,2044.3300546979258,-10214.045593475825
24,3981.0717,3027.786369211094,-12611.637867557865,3089.0973710457797,-12563.010672296099
25,3162.2777,4593.351181191293,-15378.674355296316,4635.8030245411655,-15303.461679012667
26,2511.8864,6903.67916455694,-18504.099923878017,6877.50367430673,-18379.461469280257
27,1995.2623,10049.268208206484,-21728.686303583345,10023.61368823756,-21632.15764265001
28,1584.8932,14208.903325910158,-24740.007402483516,14240.304286076882,-24764.514972948182
29,1258.9254,19659.33390684257,-27248.313532020104,19551.60395637871,-27347.612906015725
30,1000.0,25826.507969695696,-28875.233091548274,25738.57681980358,-28911.029265683817
31,794.3282,32224.77686068867,-29056.081227151466,32319.855742958374,-29115.11448504744
32,630.9573,38585.39217886142,-27992.79211517601,38676.79359087774,-27912.360357173333
33,501.1872,44236.57762530913,-25539.999999999996,44270.28180441708,-25572.143937166584
34,398.1072,48820.71893616648,-22413.74137791003,48803.29259175747,-22547.377232602503
35,316.2278,52612.97982633798,-19441.25648700085,52239.589013795485,-19292.187579205263
36,251.1886,54905.487225665514,-16180.391605652845,54716.39264114413,-16144.545283810241
37,199.5262,56478.41011911362,-12841.946519792233,56438.80460655805,-13299.800508557793
38,158.4893,57312.89358917472,-11775.072332513977,57608.16558828041,-10838.653039954954
39,125.8925,58391.89245205704,-8924.785480189648,58390.15577506055,-8768.92389696442
40,100.0,58617.19012851917,-6968.925414799282,58908.637537279086,-7060.156022120637
