No,f,Z,argZ,Z_real,Z_imag,set_DC_bias,DC_bias,set_AC_volt,AC_volt
0,1000000.0,50.29,-84.4,4.9074440288876255,-50.04998594508629,5.0,5.04983001,1.0,0.9916457622190601
1,794328.2347,67.78999999999999,-85.8,4.964817383282147,-67.60794841104601,5.0,5.04983001,1.0,0.9916457622190601
2,630957.3445,88.78,-86.66,5.172410421008855,-88.6291970539993,5.0,5.04983001,1.0,0.9916457622190601
3,501187.2336,114.5,-87.09,5.812849977995362,-114.35235360557,5.0,5.04983001,1.0,0.9916457622190601
4,398107.1706,146.1,-87.06,7.493493155346224,-145.90770219673388,5.0,5.04983001,1.0,0.9916457622190601
5,316227.766,182.7,-86.85,10.039397870003832,-182.42395810421326,5.0,5.04983001,1.0,0.9916457622190601
6,251188.6432,228.0,-87.93,8.235464101156886,-227.85121709360817,5.0,5.04983001,1.0,0.9916457622190601
7,199526.2315,288.9,-88.63,6.907232776333156,-288.8174166067094,5.0,5.04983001,1.0,0.9916457622190601
8,158489.3192,366.0,-88.92,6.898528935839392,-365.9349809713761,5.0,5.04983001,1.0,0.9916457622190601
9,125892.5412,462.5,-89.08,7.42605684984483,-462.44037851344996,5.0,5.04983001,1.0,0.9916457622190601
10,100000.0,583.0,-89.18,8.343436191568161,-582.9402946035874,5.0,5.04983001,1.0,0.9916457622190601
11,79432.8235,732.3000000000001,-89.16,10.735694139870533,-732.221301842097,5.0,5.04983001,1.0,0.9916457622190601
12,63095.7344,923.6,-89.16,13.540198153194625,-923.5007433857172,5.0,5.04983001,1.0,0.9916457622190601
13,50118.7234,1165.0,-89.11,18.095718617159413,-1164.8594528816463,5.0,5.04983001,1.0,0.9916457622190601
14,39810.7171,1465.0,-88.96,26.590376286760236,-1464.7586667737892,5.0,5.04983001,1.0,0.9916457622190601
15,31622.7766,1844.0,-88.81,38.29605354884122,-1843.6022923294993,5.0,5.04983001,1.0,0.9916457622190601
16,25118.8643,2320.0,-88.59,57.087447963557246,-2319.2975279780317,5.0,5.04983001,1.0,0.9916457622190601
17,19952.6231,2919.0,-88.34,84.55879604989805,-2917.7749759038293,5.0,5.04983001,1.0,0.9916457622190601
18,15848.9319,3672.0,-87.96,130.71289842012945,-3669.672756280403,5.0,5.04983001,1.0,0.9916457622190601
19,12589.2541,4620.0,-87.5,201.52156962785338,-4615.602783708183,5.0,5.04983001,1.0,0.9916457622190601
20,10000.0,5811.0,-86.92,312.2265097432687,-5802.605932390509,5.0,5.04983001,1.0,0.9916457622190601
21,7943.2823,7301.0,-86.18,486.40864404021977,-7284.779175170855,5.0,5.04983001,1.0,0.9916457622190601
22,6309.5734,9166.0,-85.26,757.4257441139667,-9134.651730753254,5.0,5.04983001,1.0,0.9916457622190601
23,5011.8723,11500.0,-84.12,1178.1211080912747,-11439.494335619464,5.0,5.04983001,1.0,0.9916457622190601
24,3981.0717,14410.0,-82.71,1828.50634825282,-14293.518269985145,5.0,5.04983001,1.0,0.9916457622190601
25,3162.2777,17970.0,-81.03,2801.8337231219552,-17750.228950297416,5.0,5.04983001,1.0,0.9916457622190601
26,2511.8864,22410.0,-78.84,4337.443579019777,-21986.238495905116,5.0,5.04983001,1.0,0.9916457622190601
27,1995.2623,27720.0,-76.47,6485.2177291127355,-26950.702235860233,5.0,5.04983001,1.0,0.9916457622190601
28,1584.8932,34210.0,-73.6,9658.901238594812,-32818.13106901537,5.0,5.04983001,1.0,0.9916457622190601
29,1258.9254,41730.0,-70.11,14197.19005215138,-39240.70201491169,5.0,5.04983001,1.0,0.9916457622190601
30,1000.0,50620.0,-66.22,20411.294582118968,-46322.386094435606,5.0,5.04983001,1.0,0.9916457622190601
31,794.3282,60910.0,-61.82,28764.327412678183,-53690.2371804805,5.0,5.04983001,1.0,0.9916457622190601
32,630.9573,72090.0,-56.99,39273.57965515625,-60452.907631230584,5.0,5.04983001,1.0,0.9916457622190601
33,501.1872,83630.0,-51.58,51969.46357435601,-65522.14706336846,5.0,5.04983001,1.0,0.9916457622190601
34,398.1072,95490.0,-45.7,66691.67560580674,-68341.49914136974,5.0,5.04983001,1.0,0.9916457622190601
35,316.2278,106300.0,-39.57,81941.02457291525,-67715.27517437184,5.0,5.04983001,1.0,0.9916457622190601
36,251.1886,115200.0,-33.62,95930.26788992473,-63784.1963386486,5.0,5.04983001,1.0,0.9916457622190601
37,199.5262,126000.0,-28.1,111147.98511822613,-59347.49703364566,5.0,5.04983001,1.0,0.9916457622190601
38,158.4893,126800.0,-24.42,115456.39651316842,-52421.946779893915,5.0,5.04983001,1.0,0.9916457622190601
39,125.8925,137800.0,-19.29,130063.71822897899,-45522.18360813507,5.0,5.04983001,1.0,0.9916457622190601
40,100.0,134700.0,-15.96,129507.83936623103,-37037.94733365361,5.0,5.04983001,1.0,0.9916457622190601
