No,f,Z,argZ,Z_real,Z_imag,set_DC_bias,DC_bias,set_AC_volt,AC_volt
0,2000000.0,9.633000000000001,-27.14,8.572354271016422,-4.394249794013366,8.0,8.05101466,1.0,0.9914084967812735
1,1588656.4694,19.15,-71.25,6.155565760555541,-18.133711979831272,8.0,8.05101466,1.0,0.9914084967812735
2,1261914.689,31.04,-80.07,5.352689035629509,-30.574995013701173,8.0,8.05101466,1.0,0.9914084967812735
3,1002374.4673,44.79,-83.3,5.225682314679137,-44.48411339282879,8.0,8.05101466,1.0,0.9914084967812735
4,796214.3411,60.910000000000004,-85.0,5.308656290759857,-60.67821906076823,8.0,8.05101466,1.0,0.9914084967812735
5,632455.532,80.28,-86.03,5.558116830699633,-80.08736315609531,8.0,8.05101466,1.0,0.9914084967812735
6,502377.2863,103.9,-86.59,6.180034172617892,-103.71604108152835,8.0,8.05101466,1.0,0.9914084967812735
7,399052.463,132.7,-86.66,7.731232967648964,-132.4745939295529,8.0,8.05101466,1.0,0.9914084967812735
8,316978.6385,166.20000000000002,-86.5,10.146267270693219,-165.8900034977143,8.0,8.05101466,1.0,0.9914084967812735
9,251785.0824,207.5,-87.6,8.689198148808995,-207.3179872455131,8.0,8.05101466,1.0,0.9914084967812735
10,200000.0,263.2,-88.34,7.624486166609511,-263.0895421918081,8.0,8.05101466,1.0,0.9914084967812735
11,158865.6469,333.0,-88.63,7.961607873031987,-332.90481041894856,8.0,8.05101466,1.0,0.9914084967812735
12,126191.4689,420.7,-88.74,9.25093052211691,-420.59827660663916,8.0,8.05101466,1.0,0.9914084967812735
13,100237.4467,530.4,-88.71,11.94081310790646,-530.265572126196,8.0,8.05101466,1.0,0.9914084967812735
14,79621.4341,668.0,-88.72,14.922021937307386,-667.8333124824655,8.0,8.05101466,1.0,0.9914084967812735
15,63245.5532,841.4,-88.68,19.38274970905185,-841.1767168756612,8.0,8.05101466,1.0,0.9914084967812735
16,50237.7286,1059.0,-88.53,27.16708339027128,-1058.6514769177181,8.0,8.05101466,1.0,0.9914084967812735
17,39905.2463,1333.0,-88.29,39.7776527516616,-1332.4063713227915,8.0,8.05101466,1.0,0.9914084967812735
18,31697.8638,1677.0,-88.01,58.23394166449554,-1675.9886061779227,8.0,8.05101466,1.0,0.9914084967812735
19,25178.5082,2110.0,-87.56,89.82937348348095,-2108.0869725083844,8.0,8.05101466,1.0,0.9914084967812735
20,20000.0,2654.0,-87.06,136.12409879732292,-2650.506787338342,8.0,8.05101466,1.0,0.9914084967812735
21,15886.5647,3337.0,-86.39,210.11322758073504,-3330.378571813662,8.0,8.05101466,1.0,0.9914084967812735
22,12619.1469,4196.0,-85.54,326.29395530832767,-4183.293947923005,8.0,8.05101466,1.0,0.9914084967812735
23,10023.7447,5270.0,-84.41,513.3464751695949,-5244.938073650723,8.0,8.05101466,1.0,0.9914084967812735
24,7962.1434,6615.0,-83.1,794.7051888911927,-6567.089816863282,8.0,8.05101466,1.0,0.9914084967812735
25,6324.5553,8283.0,-81.39,1240.0306326837722,-8189.652802775334,8.0,8.05101466,1.0,0.9914084967812735
26,5023.7729,10350.0,-79.24,1932.2984571752424,-10168.024521626518,8.0,8.05101466,1.0,0.9914084967812735
27,3990.5246,12890.0,-76.69,2967.530456306033,-12543.757929380497,8.0,8.05101466,1.0,0.9914084967812735
28,3169.7864,15940.0,-73.6,4500.522822075454,-15291.464754168517,8.0,8.05101466,1.0,0.9914084967812735
29,2517.8508,19580.0,-69.78,6767.352651399431,-18373.33225333927,8.0,8.05101466,1.0,0.9914084967812735
30,2000.0,23780.0,-65.21,9970.80273541055,-21588.689001686264,8.0,8.05101466,1.0,0.9914084967812735
31,1588.6565,28420.0,-60.46,14011.942809203381,-24725.73272345258,8.0,8.05101466,1.0,0.9914084967812735
32,1261.9147,33470.0,-54.4,19483.655811164477,-27214.482472244017,8.0,8.05101466,1.0,0.9914084967812735
33,1002.3745,38600.0,-48.47,25592.267433095225,-28896.294704216554,8.0,8.05101466,1.0,0.9914084967812735
34,796.2143,43300.0,-42.21,32071.762153023083,-29091.099539204704,8.0,8.05101466,1.0,0.9914084967812735
35,632.4555,47490.0,-36.08,38381.20443727183,-27967.53914709597,8.0,8.05101466,1.0,0.9914084967812735
36,502.3773,51060.0,-30.4,44039.94794972257,-25838.08399602662,8.0,8.05101466,1.0,0.9914084967812735
37,399.0525,53760.0,-24.93,48750.82792632436,-22660.41430552215,8.0,8.05101466,1.0,0.9914084967812735
38,316.9786,55680.0,-20.42,52181.083153956286,-19426.70741221733,8.0,8.05101466,1.0,0.9914084967812735
39,251.7851,56850.0,-16.63,54472.126922030875,-16269.907454873834,8.0,8.05101466,1.0,0.9914084967812735
40,200.0,58370.0,-13.25,56816.14731633638,-13378.426818141314,8.0,8.05101466,1.0,0.9914084967812735
41,158.8656,58630.0,-11.36,57481.375365361695,-11548.523113644866,8.0,8.05101466,1.0,0.9914084967812735
42,126.1915,58730.0,-8.27,58119.28071675836,-8447.609659935737,8.0,8.05101466,1.0,0.9914084967812735
43,100.2374,59440.0,-6.98,58999.468262130584,-7223.319512927984,8.0,8.05101466,1.0,0.9914084967812735
44,100.0,59250.0,-6.82,58830.75392221135,-7035.97135754649,8.0,8.05101466,1.0,0.9914084967812735
